Type,Brand,URL,Category/Notes,meta_page_id
Competitor,Levels,levels.health,Metabolic health,
,,,,
Customer,Mars Men,marsmen.com,DTC men's grooming/wellness,
Competitor,Hims,hims.com,Men's health (hair, ED, mental),
Competitor,Keeps,keeps.com,Men's hair loss,
Competitor,Manscaped,manscaped.com,Men's grooming tools,
Competitor,Tiege Hanley,tiege.com,Men's skincare subscription,
Competitor,Lumin,luminskin.com,Men's skincare,
Competitor,Geologie,geologie.com,Men's personalized skincare,
Competitor,Asystem,asystem.com,Men's wellness,
Competitor,Disco,letsdisco.com,Men's skincare,
Competitor,Beardbrand,beardbrand.com,Men's grooming,
Competitor,Huron,usehuron.com,Men's body/face care,
Competitor,Caldera + Lab,calderalab.com,Men's premium skincare,
,,,,
Customer,Muse,choosemuse.com,EEG meditation/brain-sensing headband,
Competitor,Apollo Neuro,apolloneuro.com,Wearable for stress/sleep,
Competitor,Sensate,getsensate.com,Vagal toning device,
Competitor,Whoop,whoop.com,Recovery/sleep wearable,
Competitor,Oura,ouraring.com,Sleep/recovery ring,
Competitor,Calm,calm.com,Meditation app,
Competitor,Headspace,headspace.com,Meditation app,
Competitor,Brain.fm,brain.fm,Functional music app,
Competitor,Othership,othership.us,Breathwork app,
Competitor,Neurosity,neurosity.co,Focus EEG headset,
Competitor,Flowtime,flowtime.bio,EEG headband for meditation,
Competitor,Hapbee,hapbee.com,Wearable mood device,
,,,,
Customer,Myosin,myosinhealth.com,Health/longevity supplements,
Competitor,Athletic Greens (AG1),drinkag1.com,Greens powder,
Competitor,Momentous,livemomentous.com,Premium supplements,
Competitor,Thorne,thorne.com,Premium supplements,
Competitor,Onnit,onnit.com,Performance supplements,
Competitor,Transparent Labs,transparentlabs.com,Sports supplements,
Competitor,Legion Athletics,legionathletics.com,Sports supplements,
Competitor,Timeline (MitoPure),timeline.com,Mitochondrial health,
Competitor,BiOptimizers,bioptimizers.com,Magnesium/digestive,
Competitor,Levels,levels.health,Metabolic health,
Competitor,David Protein,davidprotein.com,Protein bars (longevity-aligned),
Competitor,Ka'Chava,kachava.com,Whole-food superfood shake,
,,,,
Customer,Nextrition,nextrition.com,Pet nutrition (fresh/premium dog food),
Competitor,The Farmer's Dog,thefarmersdog.com,Fresh dog food (heavy paid social),
Competitor,Ollie,ollie.com,Fresh dog food,
Competitor,Spot & Tango,spotandtango.com,Fresh dog food,
Competitor,A Pup Above,apupabove.com,Sous vide dog food,
Competitor,Open Farm,openfarmpet.com,Premium pet food,
Competitor,Just Food For Dogs,justfoodfordogs.com,Fresh dog food,
Competitor,Sundays For Dogs,sundaysfordogs.com,Air-dried dog food,
Competitor,Maev,meetmaev.com,Raw dog food,
Competitor,We Feed Raw,wefeedraw.com,Raw dog food,
Competitor,Stella & Chewy's,stellaandchewys.com,Freeze-dried raw pet food,
,,,,
Customer,Opensend,opensend.com,B2B SaaS - identity resolution / email retargeting,
Competitor,Customers.ai,customers.ai,Identity resolution and retargeting,
Competitor,Retention.com,retention.com,Email identity resolution,
Competitor,Black Crow AI,blackcrow.ai,Predictive identity for ecom,
Competitor,AddShoppers,addshoppers.com,Identity-based marketing,
Competitor,Audiens,audiens.com,Customer data platform,
Competitor,LeadPost,leadpost.com,Anonymous visitor identification,
Competitor,Coastal.ai,coastal.ai,Email identity for ecom,
Competitor,Wisepops,wisepops.com,Onsite messaging (adjacent),
Competitor,Klaviyo,klaviyo.com,Email/SMS (broader competitor),
,,,,
Customer,PupLabs,puplabs.com,DTC dog supplements,
Competitor,PetLab Co,thepetlabco.com,DTC pet supplements (heavy FB advertiser),
Competitor,Zesty Paws,zestypaws.com,Pet supplements,
Competitor,Native Pet,nativepet.com,DTC pet supplements,
Competitor,Finn,petfinn.com,DTC pet supplements,
Competitor,Honest Paws,honestpaws.com,CBD/pet wellness,
Competitor,Rogue Pet Science,roguepetscience.com,Pet supplements,
Competitor,Pawlife,pawlife.com,Pet supplements,
Competitor,NaturVet,naturvet.com,Pet supplements,
Competitor,Bark Bright,bark.co,Bark dental supplements,
Competitor,Dr. Marty Pets,drmartypets.com,DTC pet supplements,
,,,,
Customer,Small Pet Select,smallpetselect.com,Premium small pet (rabbit/guinea pig) hay/supplies,
Competitor,Oxbow Animal Health,oxbowanimalhealth.com,Small pet food and hay,
Competitor,Kaytee,kaytee.com,Small pet food/supplies,
Competitor,Sherwood Pet Health,sherwoodpethealth.com,Small pet products,
Competitor,Sunseed,sunseedcompany.com,Small pet food,
Competitor,Vitakraft,vitakraftpet.com,Small pet treats and food,
Competitor,Higgins Premium,higginspremium.com,Bird/small pet food,
Competitor,Standlee,standleeforage.com,Hay and forage,
Competitor,Selective Naturals,selectivepetfood.com,Supreme Petfoods small animal nutrition,
Competitor,Riverside Hay,riversidehayfarms.com,Premium hay direct,
,,,,
Customer,Superfoodies,superfoodies.com,Superfood/health supplements,
Competitor,Bloom Nutrition,bloomnu.com,Greens powder DTC,
Competitor,Athletic Greens (AG1),drinkag1.com,Greens powder market leader,
Competitor,Huel,huel.com,Meal replacement,
Competitor,Vital Proteins,vitalproteins.com,Collagen and superfoods,
Competitor,Garden of Life,gardenoflife.com,Organic supplements,
Competitor,Sunwarrior,sunwarrior.com,Plant-based supplements,
Competitor,Naked Nutrition,nakednutrition.com,Clean supplements,
Competitor,Truvani,truvani.com,Clean superfood supplements,
Competitor,Orgain,orgain.com,Plant protein and superfoods,
Competitor,Ka'Chava,kachava.com,Superfood shake,
,,,,
Customer,Support Pets,supportpets.com,Emotional Support Animal letters,
Competitor,ESA Doctors,esadoctors.com,ESA letter service,
Competitor,CertaPet,certapet.com,ESA letters and service dog,
Competitor,Pettable,pettable.com,DTC ESA letters (heavy advertiser),
Competitor,US Service Animals,usserviceanimals.org,ESA letters and registration,
Competitor,ESA Care,esacare.org,ESA letters,
Competitor,Service Pets,servicepets.com,Service/ESA letters,
Competitor,MyESADoctor,myesadoctor.com,ESA letters online,
Competitor,ESA Registration of America,esaregistration.org,ESA registration/letters,
,,,,
Customer,Umma,ummabeauty.com,Korean beauty (K-beauty),
Competitor,Cosrx,cosrx.com,K-beauty leader,102046785244433
Competitor,Beauty of Joseon,beautyofjoseon.com,K-beauty traditional ingredients,
Competitor,Anua,anua.com,K-beauty heartleaf,
Competitor,Some By Mi,somebymi.com,K-beauty acne care,
Competitor,Tirtir,tirtir.us,K-beauty cushions/skincare,
Competitor,Round Lab,roundlab-us.com,K-beauty,
Competitor,Mixsoon,mixsoon.com,K-beauty bean essence,
Competitor,Skin1004,skin1004.com,K-beauty centella,
Competitor,Torriden,torriden.com,K-beauty hydration,
Competitor,Medicube,themedicube.us,K-beauty derma,
Competitor,Glow Recipe,glowrecipe.com,Korean-inspired DTC skincare,
,,,,
Customer,Winpro Pet,winpro.pet,Dog joint/blood-protein supplements,
Competitor,Nutramax (Cosequin/Dasuquin),nutramaxlabs.com,Joint supplements market leader,
Competitor,PetLab Co,thepetlabco.com,DTC pet supplements,
Competitor,Zesty Paws,zestypaws.com,Pet supplements,
Competitor,Native Pet,nativepet.com,DTC pet supplements,
Competitor,Doggie Dailies,doggiedailies.com,Pet supplements,
Competitor,Finn,petfinn.com,DTC pet supplements,
Competitor,VetIQ,vetiq.com,Pet supplements,
Competitor,Ortho Dog,orthodog.com,Joint braces and supplements,
Competitor,Pet Honesty,pethonesty.com,Pet supplements,
Competitor,Dr. Marty Pets,drmartypets.com,DTC pet supplements,
Competitor,NaturVet,naturvet.com,Pet supplements,
